"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
36,227749,C(/C=C/C1=CC=C2[N+]=CC=CC2=C1)C1=CC=CC=C1,13,0,13,0,0,-0.5840,-0.7616,100.00,13,13,100.0,-0.762,-0.442,LOWEST ATTR (INACTIVE): CHEMBL1830298 | SMILES: C[N+]1=CC=CC2=CC(/C=C/C(=O)C3=CC=C(Br)C=C3)=CC=C21 | Attribution: -0.762 | Prediction: 0.105 | MW: 353.2 | LogP: 4.32,HIGHEST ATTR (INACTIVE): CHEMBL1830294 | SMILES: C[N+]1=CC=CC2=CC(/C=C/C(=O)C3=CC=CC=C3)=CC=C21 | Attribution: -0.442 | Prediction: 0.113 | MW: 274.3 | LogP: 3.56,,
37,229950,C1O[C@H](C2=CC=CC=C2)C(C2=CC=CC=C2)O1,13,0,13,0,0,-0.5297,-0.7382,100.00,13,13,100.0,-0.738,-0.435,LOWEST ATTR (INACTIVE): CHEMBL10449 | SMILES: O=C1O[C@H](C2=CC=C(F)C=C2)[C@@](CN2C=CN=C2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.738 | Prediction: 0.051 | MW: 407.2 | LogP: 5.13,HIGHEST ATTR (INACTIVE): CHEMBL273259 | SMILES: O=C1O[C@H](C2=CC=CC=C2)[C@@](CN2C=NC=N2)(C2=CC=CC=C2Cl)O1 | Attribution: -0.435 | Prediction: 0.024 | MW: 355.8 | LogP: 3.74,,
38,227029,C(N/N=C/C1=CC=CC=C1)C1=COC=C1,13,0,13,0,0,-0.4952,-0.7616,100.00,12,13,92.3,-0.762,-0.031,LOWEST ATTR (INACTIVE): CHEMBL1956210 | SMILES: O=C(N/N=C/C1=CC(Cl)=CC(Cl)=C1O)C1=COC2=C(Cl)C=C(Cl)C=C12 | Attribution: -0.762 | Prediction: 0.278 | MW: 418.1 | LogP: 5.52,HIGHEST ATTR (INACTIVE): CHEMBL1956060 | SMILES: O=C(N/N=C/C1=CC=CC2=CC=CC=C12)C1=COC2=CC=CC=C12 | Attribution: -0.031 | Prediction: 0.163 | MW: 314.3 | LogP: 4.35,,
39,229463,C1NC=C(C2=NN=C(/N=C3\CNC4=CC=CC=C34)S2)C(C2=CC=CC=C2)N1,12,0,12,0,0,-0.7616,-0.7616,100.00,12,12,100.0,-0.762,-0.762,LOWEST ATTR (INACTIVE): CHEMBL1834609 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.762 | Prediction: 0.027 | MW: 450.5 | LogP: 3.70,HIGHEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.762 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,,
40,229459,C1NC=C(C2=NN=C(/N=C3\CNC4=CC=CC=C34)S2)CN1,12,0,12,0,0,-0.7523,-0.7556,100.00,12,12,100.0,-0.756,-0.750,LOWEST ATTR (INACTIVE): CHEMBL1834607 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(Br)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.756 | Prediction: 0.015 | MW: 511.4 | LogP: 4.32,HIGHEST ATTR (INACTIVE): CHEMBL1834667 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.750 | Prediction: 0.014 | MW: 434.5 | LogP: 3.54,,
41,229461,C1NC=C(C2=NN=C(/N=C/C3=CC=CC=C3)S2)C(C2=CC=CC=C2)N1,12,0,12,0,0,-0.6950,-0.7182,100.00,12,12,100.0,-0.718,-0.672,LOWEST ATTR (INACTIVE): CHEMBL1834667 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.718 | Prediction: 0.014 | MW: 434.5 | LogP: 3.54,HIGHEST ATTR (INACTIVE): CHEMBL1834608 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C([N+](=O)[O-])C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.672 | Prediction: 0.017 | MW: 477.5 | LogP: 3.47,,
42,229454,C1NC=C(C2=NN=C(/N=C/C3=CC=CC=C3)S2)CN1,12,0,12,0,0,-0.6828,-0.7061,100.00,12,12,100.0,-0.706,-0.655,LOWEST ATTR (INACTIVE): CHEMBL1834667 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.706 | Prediction: 0.014 | MW: 434.5 | LogP: 3.54,HIGHEST ATTR (INACTIVE): CHEMBL1834608 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C([N+](=O)[O-])C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.655 | Prediction: 0.017 | MW: 477.5 | LogP: 3.47,,
43,228144,C1=CC2=NC=CN2C(N2CCCC2)=C1,12,0,12,0,0,-0.6493,-0.7254,100.00,12,12,100.0,-0.725,-0.561,LOWEST ATTR (INACTIVE): CHEMBL1171951 | SMILES: CCC1=C(N2CCCC2)N2C(=NC3=CC=CC=C32)C(C#N)=C1C | Attribution: -0.725 | Prediction: 0.020 | MW: 304.4 | LogP: 3.83,HIGHEST ATTR (INACTIVE): CHEMBL1171748 | SMILES: CC1=C(C#N)C2=NC3=CC=CC=C3N2C(N2CC[C@H](N(C)C)C2)=C1CCO | Attribution: -0.561 | Prediction: 0.037 | MW: 363.5 | LogP: 2.34,,
44,229462,C1NC2=CC=CC=C2/C1=N/C1=NN=C(CCC2=CC=CC=C2)S1,12,0,12,0,0,-0.6368,-0.6792,100.00,12,12,100.0,-0.679,-0.594,LOWEST ATTR (INACTIVE): CHEMBL1834607 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(Br)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.679 | Prediction: 0.015 | MW: 511.4 | LogP: 4.32,HIGHEST ATTR (INACTIVE): CHEMBL1834667 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.594 | Prediction: 0.014 | MW: 434.5 | LogP: 3.54,,
45,229460,C1NC=C(C2=NN=C(/N=C3\CNC=C3)S2)C(C2=CC=CC=C2)N1,12,0,12,0,0,-0.6159,-0.7232,100.00,12,12,100.0,-0.723,-0.436,LOWEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.723 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.436 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
46,229453,C1NC=C(C2=NN=C(/N=C3\CNC=C3)S2)CN1,12,0,12,0,0,-0.5907,-0.7054,100.00,12,12,100.0,-0.705,-0.406,LOWEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.705 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.406 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
47,229456,C1NC2=CC=CC=C2/C1=N/C1=NN=CS1,12,0,12,0,0,-0.5671,-0.6008,100.00,12,12,100.0,-0.601,-0.529,LOWEST ATTR (INACTIVE): CHEMBL1834608 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C([N+](=O)[O-])C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.601 | Prediction: 0.017 | MW: 477.5 | LogP: 3.47,HIGHEST ATTR (INACTIVE): CHEMBL1834665 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(Br)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.529 | Prediction: 0.010 | MW: 495.4 | LogP: 4.16,,
48,229458,C(C1=NN=C(/N=C/C2=CC=CC=C2)S1)CC1=CC=CC=C1,12,0,12,0,0,-0.5667,-0.6055,100.00,12,12,100.0,-0.605,-0.522,LOWEST ATTR (INACTIVE): CHEMBL1834611 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(Cl)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.605 | Prediction: 0.016 | MW: 467.0 | LogP: 4.21,HIGHEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.522 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,,
49,229451,C(=N\C1=NN=CS1)/C1=CC=CC=C1,12,0,12,0,0,-0.5326,-0.5690,100.00,12,12,100.0,-0.569,-0.499,LOWEST ATTR (INACTIVE): CHEMBL1834666 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C([N+](=O)[O-])C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.569 | Prediction: 0.010 | MW: 461.5 | LogP: 3.30,HIGHEST ATTR (INACTIVE): CHEMBL1834607 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(Br)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.499 | Prediction: 0.015 | MW: 511.4 | LogP: 4.32,,
50,229450,C1NC=C/C1=N/C1=NN=CS1,12,0,12,0,0,-0.5182,-0.6155,100.00,12,12,100.0,-0.616,-0.376,LOWEST ATTR (INACTIVE): CHEMBL1834609 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.616 | Prediction: 0.027 | MW: 450.5 | LogP: 3.70,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.376 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
51,229457,C1NC=C/C1=N/C1=NN=C(CCC2=CC=CC=C2)S1,12,0,12,0,0,-0.4415,-0.5675,100.00,12,12,100.0,-0.567,-0.181,LOWEST ATTR (INACTIVE): CHEMBL1834606 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=S)N1 | Attribution: -0.567 | Prediction: 0.014 | MW: 432.5 | LogP: 3.56,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.181 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
52,229496,C1=CC=C2C(=C1)SC1=C2[N+]=CC=C1,12,0,12,0,0,-0.3947,-0.7601,100.00,10,12,83.3,-0.760,0.037,LOWEST ATTR (INACTIVE): CHEMBL375194 | SMILES: C[N+]1=C2C=CC(C(=O)O)=CC2=CC2=C1C1=CC=CC=C1S2 | Attribution: -0.760 | Prediction: 0.131 | MW: 294.4 | LogP: 3.73,HIGHEST ATTR (INACTIVE): CHEMBL374689 | SMILES: C[N+]1=C2C=CC(C(N)=O)=CC2=CC2=C1C1=CC=CC=C1S2 | Attribution: 0.037 | Prediction: 0.024 | MW: 293.4 | LogP: 3.13,,INACTIVE w/ POS ATTR: CHEMBL374689 | SMILES: C[N+]1=C2C=CC(C(N)=O)=CC2=CC2=C1C1=CC=CC=C1S2 | Attribution: 0.037 | Prediction: 0.024 | MW: 293.4
53,228143,C(N1CCCC1)N1C=CN=C1,12,0,12,0,0,-0.3668,-0.5544,100.00,12,12,100.0,-0.554,-0.249,LOWEST ATTR (INACTIVE): CHEMBL1171954 | SMILES: CN(C)[C@H]1CCN(C2=C(C3=CC=CC=C3)C=C(C#N)C3=NC4=CC=CC=C4N23)C1 | Attribution: -0.554 | Prediction: 0.105 | MW: 381.5 | LogP: 4.17,HIGHEST ATTR (INACTIVE): CHEMBL1172142 | SMILES: CCC1=C(N2CC[C@H](N(C)C)C2)N2C(=NC3=CC=CC=C32)C(C#N)=C1C1=CC=CC=C1 | Attribution: -0.249 | Prediction: 0.037 | MW: 409.5 | LogP: 4.73,,
54,229455,C1NC=C(C2=NN=CS2)C(C2=CC=CC=C2)N1,12,0,12,0,0,-0.3537,-0.4808,100.00,12,12,100.0,-0.481,-0.255,LOWEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.481 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.255 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
55,229449,C1NC=C(C2=NN=CS2)CN1,12,0,12,0,0,-0.3395,-0.4564,100.00,12,12,100.0,-0.456,-0.243,LOWEST ATTR (INACTIVE): CHEMBL1834612 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=CC=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.456 | Prediction: 0.010 | MW: 416.5 | LogP: 3.40,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.243 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
56,229452,C(C1=NN=CS1)CC1=CC=CC=C1,12,0,12,0,0,-0.3240,-0.4000,100.00,12,12,100.0,-0.400,-0.229,LOWEST ATTR (INACTIVE): CHEMBL1834667 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(F)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.400 | Prediction: 0.014 | MW: 434.5 | LogP: 3.54,HIGHEST ATTR (INACTIVE): CHEMBL1834668 | SMILES: CC1=C(C2=NN=C(/N=C3\C(=O)NC4=CC=C(I)C=C34)S2)C(C2=CC=CC=C2)NC(=O)N1 | Attribution: -0.229 | Prediction: 0.009 | MW: 542.4 | LogP: 4.00,,
57,229951,C1O[C@H](C2=CC=CC=C2)[C@@](CN2C=NC=N2)(C2=CC=CC=C2)O1,11,0,11,0,0,-0.7594,-0.7616,100.00,11,11,100.0,-0.762,-0.746,LOWEST ATTR (INACTIVE): CHEMBL273259 | SMILES: O=C1O[C@H](C2=CC=CC=C2)[C@@](CN2C=NC=N2)(C2=CC=CC=C2Cl)O1 | Attribution: -0.762 | Prediction: 0.024 | MW: 355.8 | LogP: 3.74,HIGHEST ATTR (INACTIVE): CHEMBL10071 | SMILES: FC1=CC=C([C@H]2OC(=S)O[C@]2(CN2C=NC=N2)C2=CC=C(Cl)C=C2Cl)C=C1 | Attribution: -0.746 | Prediction: 0.041 | MW: 424.3 | LogP: 4.69,,
58,229949,C1O[C@H](C2=CC=CC=C2)C(CN2C=NC=N2)O1,11,0,11,0,0,-0.7403,-0.7616,100.00,11,11,100.0,-0.762,-0.711,LOWEST ATTR (INACTIVE): CHEMBL276183 | SMILES: O=C1O[C@H](C2=CC=C(Cl)C=C2)[C@@](CN2C=NC=N2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.762 | Prediction: 0.038 | MW: 424.7 | LogP: 5.04,HIGHEST ATTR (INACTIVE): CHEMBL269178 | SMILES: O=C1O[C@H](C2=CC=CC(Cl)=C2)[C@@](CN2C=NC=N2)(C2=CC=CC(Cl)=C2)O1 | Attribution: -0.711 | Prediction: 0.014 | MW: 390.2 | LogP: 4.39,,
59,229880,C(/C=C/C1=CC=CC=C1)C1=CC=C(N2CC=CC2)C=C1,11,0,11,0,0,-0.7232,-0.7616,100.00,11,11,100.0,-0.762,-0.639,LOWEST ATTR (INACTIVE): CHEMBL2262164 | SMILES: O=C(/C=C/C1=CC=C(Cl)C=C1Cl)C1=CC=C(N2C(=O)C(Br)=C(Br)C2=O)C=C1 | Attribution: -0.762 | Prediction: 0.025 | MW: 530.0 | LogP: 5.76,HIGHEST ATTR (INACTIVE): CHEMBL2259637 | SMILES: O=C(/C=C/C1=CC=C(O)C=C1)C1=CC=C(N2C(=O)C(Br)=C(Br)C2=O)C=C1 | Attribution: -0.639 | Prediction: 0.031 | MW: 477.1 | LogP: 4.16,,
60,228146,C1=CC=C2C(=C1)N=C1C=CC=C(N3CCCC3)N12,11,0,11,0,0,-0.7076,-0.7616,100.00,11,11,100.0,-0.762,-0.650,LOWEST ATTR (INACTIVE): CHEMBL1171951 | SMILES: CCC1=C(N2CCCC2)N2C(=NC3=CC=CC=C32)C(C#N)=C1C | Attribution: -0.762 | Prediction: 0.020 | MW: 304.4 | LogP: 3.83,HIGHEST ATTR (INACTIVE): CHEMBL1169809 | SMILES: CC(=O)OCCC1=C(N2CC[C@H](N(C)C)C2)N2C(=NC3=CC=CC=C32)C(C#N)=C1C | Attribution: -0.650 | Prediction: 0.027 | MW: 405.5 | LogP: 2.91,,
61,228331,C1=CC=C(CN2C=C(C3=CNN=C3)N=N2)C=C1,11,0,11,0,0,-0.4384,-0.5231,100.00,11,11,100.0,-0.523,-0.324,LOWEST ATTR (INACTIVE): CHEMBL4573367 | SMILES: CC1=C(C2=NN(C3=CC=CC=C3)C=C2C2=CN(CC3=CC=C(Br)C=C3)N=N2)SC(C2=CC=C(F)C=C2)=N1 | Attribution: -0.523 | Prediction: 0.079 | MW: 571.5 | LogP: 7.18,HIGHEST ATTR (INACTIVE): CHEMBL4547321 | SMILES: CC1=C(C2=NN(C3=CC=CC=C3)C=C2C2=CN(CC3=CC=C(F)C=C3)N=N2)SC(C2=CC=CC=C2)=N1 | Attribution: -0.324 | Prediction: 0.051 | MW: 492.6 | LogP: 6.42,,
62,228145,C(N1CCCC1)N1C=NC2=CC=CC=C21,11,0,11,0,0,-0.4317,-0.6813,100.00,11,11,100.0,-0.681,-0.297,LOWEST ATTR (INACTIVE): CHEMBL1171954 | SMILES: CN(C)[C@H]1CCN(C2=C(C3=CC=CC=C3)C=C(C#N)C3=NC4=CC=CC=C4N23)C1 | Attribution: -0.681 | Prediction: 0.105 | MW: 381.5 | LogP: 4.17,HIGHEST ATTR (INACTIVE): CHEMBL1172142 | SMILES: CCC1=C(N2CC[C@H](N(C)C)C2)N2C(=NC3=CC=CC=C32)C(C#N)=C1C1=CC=CC=C1 | Attribution: -0.297 | Prediction: 0.037 | MW: 409.5 | LogP: 4.73,,
63,228719,C1=NC(CC2=CC=CC=C2)CO1,18,7,11,0,0,-0.2964,-0.7577,61.11,11,18,61.1,-0.758,0.543,LOWEST ATTR (INACTIVE): CHEMBL5204184 | SMILES: C1=CC=C(CC2(CN3C=CN=C3)COC(C3=NOC(C4=CC=CC=C4)=C3)=N2)C=C1 | Attribution: -0.758 | Prediction: 0.173 | MW: 384.4 | LogP: 4.00,HIGHEST ATTR (ACTIVE): CHEMBL5200713 | SMILES: FC1=CC=CC(F)=C1CC1(CN2C=NC=N2)COC(C2=CC=C(C3=CSC=C3)C=C2)=N1 | Attribution: 0.543 | Prediction: 0.654 | MW: 436.5 | LogP: 4.74,ACTIVE w/ NEG ATTR: CHEMBL5177882 | SMILES: FC1=CC=CC(F)=C1CC1(CN2C=CN=N2)COC(C2=CC=C(C3=CSC=C3)C=C2)=N1 | Attribution: -0.113 | Prediction: 0.618 | MW: 436.5,INACTIVE w/ POS ATTR: CHEMBL5173874 | SMILES: C1=CC=C(CC2(CN3C=CN=C3)COC(C3=CC=C(C4=CN=CN=C4)C=C3)=N2)C=C1 | Attribution: 0.047 | Prediction: 0.091 | MW: 395.5
64,229808,C(N/N=C/C1=CC=CC=C1)NC1=CC=CC2=CC=CC=C12,10,0,10,0,0,-0.7609,-0.7616,100.00,10,10,100.0,-0.762,-0.755,LOWEST ATTR (INACTIVE): CHEMBL3759801 | SMILES: FC1=CC=C(/C=N/NC(=S)NC2=CC=CC3=CC=CC=C23)C=C1Cl | Attribution: -0.762 | Prediction: 0.037 | MW: 357.8 | LogP: 4.95,HIGHEST ATTR (INACTIVE): CHEMBL3759872 | SMILES: FC1=CC=C(OC2=CC=C(/C=N/NC(=S)NC3=CC=CC4=CC=CC=C34)C=C2)C=C1 | Attribution: -0.755 | Prediction: 0.021 | MW: 415.5 | LogP: 6.09,,
65,211370,C1=CC=C(SC2=CC(C3=CC4=CC=CC=C4N=C3SC3=CC=CC=C3)=CC=N2)C=C1,10,0,10,0,0,-0.7607,-0.7616,100.00,10,10,100.0,-0.762,-0.756,LOWEST ATTR (INACTIVE): CHEMBL2297480 | SMILES: CC1=CC=C2N=C(SC3=CC=CC=C3)C(C3=C(C#N)C(N)=NC(SC4=CC=C(Cl)C=C4)=C3C#N)=CC2=C1 | Attribution: -0.762 | Prediction: 0.007 | MW: 536.1 | LogP: 7.89,HIGHEST ATTR (INACTIVE): CHEMBL2297471 | SMILES: CC1=CC=C(SC2=NC3=CC=C(C)C=C3C=C2C2=C(C#N)C(N)=NC(SC3=CC=C(C)C=C3)=C2C#N)C=C1 | Attribution: -0.756 | Prediction: 0.007 | MW: 529.7 | LogP: 7.85,,
66,232201,C(NC1=CC=CC=C1)NN1C=CN=C1C1=CC=CC=C1,10,0,10,0,0,-0.7482,-0.7616,100.00,10,10,100.0,-0.762,-0.688,LOWEST ATTR (INACTIVE): CHEMBL2298653 | SMILES: CC1=CC=C(NC(=S)NN2C=CN=C2C2=CC=C(Br)C=C2)C=C1 | Attribution: -0.762 | Prediction: 0.097 | MW: 387.3 | LogP: 4.56,HIGHEST ATTR (INACTIVE): CHEMBL2298656 | SMILES: S=C(NC1=CC=CC2=CC=CC=C12)NN1C=CN=C1C1=CC=C(Br)C=C1 | Attribution: -0.688 | Prediction: 0.082 | MW: 423.3 | LogP: 5.41,,
67,229807,C(NCC1=CC=CC=C1)N/N=C/C1=CC=CC=C1,10,0,10,0,0,-0.7092,-0.7240,100.00,10,10,100.0,-0.724,-0.674,LOWEST ATTR (INACTIVE): CHEMBL3759640 | SMILES: FC1=CC=CC(Cl)=C1/C=N/NC(=S)NC1=CC=CC2=CC=CC=C12 | Attribution: -0.724 | Prediction: 0.031 | MW: 357.8 | LogP: 4.95,HIGHEST ATTR (INACTIVE): CHEMBL3759872 | SMILES: FC1=CC=C(OC2=CC=C(/C=N/NC(=S)NC3=CC=CC4=CC=CC=C34)C=C2)C=C1 | Attribution: -0.674 | Prediction: 0.021 | MW: 415.5 | LogP: 6.09,,
68,232200,C(NC1=CC=CC=C1)NN1C=CN=C1,12,2,10,0,0,-0.4239,-0.6818,83.33,10,12,83.3,-0.682,0.584,LOWEST ATTR (INACTIVE): CHEMBL2298647 | SMILES: CC1=CC=CC=C1NC(=S)NN1C=CN=C1C1=CC=C(Cl)C=C1 | Attribution: -0.682 | Prediction: 0.078 | MW: 342.9 | LogP: 4.45,HIGHEST ATTR (ACTIVE): CHEMBL2298671 | SMILES: CC1=CC=C(NC(=S)NN2C(C3=CC=C([N+](=O)[O-])C=C3)=CN=C2S)C=C1 | Attribution: 0.584 | Prediction: 0.583 | MW: 385.5 | LogP: 4.00,,
69,228043,C1=CC=C(CCN2C=NN=C2)C=C1,9,0,9,0,0,-0.7612,-0.7616,100.00,9,9,100.0,-0.762,-0.758,LOWEST ATTR (INACTIVE): CHEMBL10471 | SMILES: COC1=CC=C(C(=O)C(O)(CN2C=NN=C2)C2=CC=C(OC)C=C2)C=C1 | Attribution: -0.762 | Prediction: 0.040 | MW: 353.4 | LogP: 2.07,HIGHEST ATTR (INACTIVE): CHEMBL10547 | SMILES: O=C(C1=CC=C(Cl)C=C1Cl)C(O)(CN1C=NN=C1)C1=CC=C(Cl)C=C1Cl | Attribution: -0.758 | Prediction: 0.191 | MW: 431.1 | LogP: 4.66,,
70,231738,C1=NN(CC2COSO2)C=N1,9,0,9,0,0,-0.6916,-0.7314,100.00,9,9,100.0,-0.731,-0.649,LOWEST ATTR (INACTIVE): CHEMBL10268 | SMILES: O=S1O[C@H](C2=CC=CC=C2)[C@@](CN2C=NC=N2)(C2=CC=C(Cl)C=C2Cl)O1 | Attribution: -0.731 | Prediction: 0.005 | MW: 410.3 | LogP: 3.85,HIGHEST ATTR (INACTIVE): CHEMBL2051993 | SMILES: CC(C)[C@H]1OS(=O)O[C@@]1(CN1C=NC=N1)C1=CC=C(Cl)C=C1 | Attribution: -0.649 | Prediction: 0.006 | MW: 341.8 | LogP: 2.48,,
71,227735,C1=NN(CC2COCO2)C=N1,9,0,9,0,0,-0.6522,-0.7325,100.00,9,9,100.0,-0.732,-0.535,LOWEST ATTR (INACTIVE): CHEMBL10220 | SMILES: ClC1=CC=C([C@H]2OCO[C@]2(CN2C=NC=N2)C2=CC=CC=C2)C(Cl)=C1 | Attribution: -0.732 | Prediction: 0.021 | MW: 376.2 | LogP: 4.23,HIGHEST ATTR (INACTIVE): CHEMBL2051992 | SMILES: CC(C)[C@H]1OCO[C@@]1(CN1C=NC=N1)C1=CC=C(Cl)C=C1 | Attribution: -0.535 | Prediction: 0.040 | MW: 307.8 | LogP: 2.86,,
72,229584,C(N/N=C/C1=CC2=CC=CC=C2N2N=NN=C12)NC1=CC=CC=C1,9,0,9,0,0,-0.5940,-0.7219,100.00,9,9,100.0,-0.722,-0.381,LOWEST ATTR (INACTIVE): CHEMBL4452947 | SMILES: O=C1/C(=C/C2=CC=CC=C2)C(=O)N(C2=CC=CC=C2)C(=S)N1/N=C/C1=CC2=CC=CC=C2N2N=NN=C12 | Attribution: -0.722 | Prediction: 0.014 | MW: 503.5 | LogP: 3.86,HIGHEST ATTR (INACTIVE): CHEMBL4526915 | SMILES: CC1=CC=C(N2C(=O)CC(=O)N(/N=C/C3=CC4=CC=CC=C4N4N=NN=C34)C2=S)C=C1 | Attribution: -0.381 | Prediction: 0.091 | MW: 429.5 | LogP: 2.47,,
