rank,fragment_id,fragment_smiles,total_compounds,tp_count,tn_count,fp_count,fn_count,avg_attribution,max_attribution,activity_rate_percent,positive_appearances,total_appearances,positive_consistency_percent,min_attribution_ever,max_attribution_ever,highest_attribution_example,lowest_attribution_example,inactive_positive_attribution_example,active_negative_attribution_example,mol,pathogen,pathogen_class,fragment_type,reliability_score,importance_tier
945,61252,C(/C=C/C1=CN=CC=C1)N1CC(C2=CC3=CC=CC=C3O2)C1,8,8,0,0,0,0.7012,0.7595,100.0,8,8,100.0,0.547,0.76,HIGHEST ATTR (ACTIVE): CHEMBL3322726 | SMILES: CC1=C(C2CN(C(=O)/C=C/C3=CN=C4NC(=O)N(CCN5CCOCC5)CC4=C3)C2)OC2=CC=CC=C12 | Attribution: 0.760 | Prediction: 0.980 | MW: 501.6 | LogP: 3.46,LOWEST ATTR (ACTIVE): CHEMBL3322729 | SMILES: CC1=C(C2CN(C(=O)/C=C/C3=CN=C4NC(=O)CN(CCN5CCOCC5)CC4=C3)C2)OC2=CC=CC=C12 | Attribution: 0.547 | Prediction: 0.982 | MW: 515.6 | LogP: 2.86,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801690>,SA,Gram+,scaffold,2.1972245773362196,Moderate
946,4514,C(/C=C/C1=CN=CC=C1)N1CC(COC2=CC=CC=C2)C1,8,8,0,0,0,0.7006,0.7181,100.0,8,8,100.0,0.68,0.718,HIGHEST ATTR (ACTIVE): CHEMBL3322713 | SMILES: O=C1CCC2=CC(/C=C/C(=O)N3CC(COC4=CC=C5C=CC=CC5=C4)C3)=CN=C2N1 | Attribution: 0.718 | Prediction: 0.989 | MW: 413.5 | LogP: 3.67,LOWEST ATTR (ACTIVE): CHEMBL3322708 | SMILES: O=C1CCC2=CC(/C=C/C(=O)N3CC(COC4=CC=CC(F)=C4)C3)=CN=C2N1 | Attribution: 0.680 | Prediction: 0.989 | MW: 381.4 | LogP: 2.66,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801700>,SA,Gram+,scaffold,2.1972245773362196,Moderate
947,672,C1NC=C/C1=N/C1=CC=C(/N=C/C2=CC=CC=C2)C=C1,8,8,0,0,0,0.7004,0.7616,100.0,8,8,100.0,0.668,0.762,HIGHEST ATTR (ACTIVE): CHEMBL2237040 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=CC=C3O)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.762 | Prediction: 0.977 | MW: 431.5 | LogP: 5.81,LOWEST ATTR (ACTIVE): CHEMBL2237037 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=C([N+](=O)[O-])C=C3)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.668 | Prediction: 0.989 | MW: 460.5 | LogP: 6.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801770>,SA,Gram+,scaffold,2.1972245773362196,Moderate
948,13522,C1=CC=C(O/N=C2/CCN(C3=CC=C4CC=CNC4=C3)CC2)C=C1,8,8,0,0,0,0.6994,0.7262,100.0,8,8,100.0,0.681,0.726,HIGHEST ATTR (ACTIVE): CHEMBL5284323 | SMILES: CCC1=CC=C(O/N=C2/CCN(C3=C(F)C=C4C(=O)C(C(=O)O)=CN(C5CC5)C4=C3OC)CC2N)C=C1CC | Attribution: 0.726 | Prediction: 0.997 | MW: 536.6 | LogP: 4.28,LOWEST ATTR (ACTIVE): CHEMBL5284482 | SMILES: COC1=CC=CC=C1O/N=C1/CCN(C2=C(F)C=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2OC)CC1N | Attribution: 0.681 | Prediction: 0.994 | MW: 510.5 | LogP: 3.16,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888017E0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
949,29327,C(CCC1CC=CCC1C1CCCO1)NC1=CC=CC=C1,8,8,0,0,0,0.6987,0.7511,100.0,8,8,100.0,0.627,0.751,HIGHEST ATTR (ACTIVE): CHEMBL1090537 | SMILES: CC12CC34CC1CC(O2)C3C(C)(CCC(=O)NC1=C(O)C=CC(C(=O)O)=C1O)C(=O)C=C4C1=CC=CC=C1 | Attribution: 0.751 | Prediction: 0.875 | MW: 517.6 | LogP: 4.76,LOWEST ATTR (ACTIVE): CHEMBL492363 | SMILES: CC1=CC(=O)[C@@](C)(CCC(=O)NC2=C(O)C=CC(C(=O)O)=C2O)C2C3CC4CC12CC4(C)O3 | Attribution: 0.627 | Prediction: 0.819 | MW: 455.5 | LogP: 3.62,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801850>,SA,Gram+,scaffold,2.1972245773362196,Moderate
950,42518,C1NC2C(=CN1C1=NOC=C1)CN(C1=NOC=C1)C1=CC=CC=C12,8,8,0,0,0,0.6972,0.715,100.0,8,8,100.0,0.672,0.715,HIGHEST ATTR (ACTIVE): CHEMBL1257522 | SMILES: CC1=C2C(=O)N(C3=NOC(C)=C3)C3=CC=CC=C3C2N(C2=CC=C(Br)C=C2)C(=S)N1C1=NOC(C)=C1 | Attribution: 0.715 | Prediction: 0.991 | MW: 562.4 | LogP: 6.35,LOWEST ATTR (ACTIVE): CHEMBL1257639 | SMILES: CC1=C2C(=O)N(C3=NOC(C)=C3)C3=CC=CC=C3C2N(C2=CC=C(Cl)C=C2)C(=S)N1C1=NOC(C)=C1 | Attribution: 0.672 | Prediction: 0.991 | MW: 518.0 | LogP: 6.24,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888018C0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
951,679,C1NC2=CC=CC=C2/C1=N/C1=CC=C(/N=C/C2=CC=CC=C2)C=C1,8,8,0,0,0,0.697,0.76,100.0,8,8,100.0,0.653,0.76,HIGHEST ATTR (ACTIVE): CHEMBL2237040 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=CC=C3O)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.760 | Prediction: 0.977 | MW: 431.5 | LogP: 5.81,LOWEST ATTR (ACTIVE): CHEMBL2237037 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=C([N+](=O)[O-])C=C3)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.653 | Prediction: 0.989 | MW: 460.5 | LogP: 6.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801930>,SA,Gram+,scaffold,2.1972245773362196,Moderate
952,25617,C(CSCC1=CSC=N1)O[C@@H]1CCCCCCC1,8,8,0,0,0,0.6966,0.7264,100.0,8,8,100.0,0.659,0.726,HIGHEST ATTR (ACTIVE): CHEMBL2088187 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(N)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.726 | Prediction: 0.992 | MW: 506.7 | LogP: 4.87,LOWEST ATTR (ACTIVE): CHEMBL2088193 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNC3CCCCC3)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.659 | Prediction: 0.994 | MW: 645.9 | LogP: 6.14,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888019A0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
953,76783,C1CN2C3=C(CC4=CC=CC=C4C3)C=C[C@@H]2O1,8,8,0,0,0,0.6966,0.7324,100.0,8,8,100.0,0.647,0.732,HIGHEST ATTR (ACTIVE): CHEMBL1631688 | SMILES: CSCC[C@@H]1C(=O)O[C@H]2C3=CC(C)=CC(O)=C3C3=C(C(=O)C4=C(O[C@H]5C[C@@H](O)[C@@H](O)[C@H](C)O5)C=CC=C4C3=O)N12 | Attribution: 0.732 | Prediction: 0.993 | MW: 567.6 | LogP: 2.72,LOWEST ATTR (ACTIVE): CHEMBL1631685 | SMILES: CC1=CC(O)=C2C3=C(C(=O)C4=C(O[C@H]5C[C@@H](O)[C@@H](O)[C@H](C)O5)C=CC=C4C3=O)N3[C@@H](CC(C)C)C(=O)O[C@H]3C2=C1 | Attribution: 0.647 | Prediction: 0.992 | MW: 549.6 | LogP: 3.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801A10>,SA,Gram+,scaffold,2.1972245773362196,Moderate
954,15107,C1=CC=C(CNCCNC2=CC=C(NCCCN3C=CN=N3)C=C2)C=C1,8,8,0,0,0,0.6959,0.7547,100.0,8,8,100.0,0.629,0.755,HIGHEST ATTR (ACTIVE): CHEMBL474117 | SMILES: NC1=CC=CC=C1CN1CCN(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)CC1 | Attribution: 0.755 | Prediction: 0.985 | MW: 451.5 | LogP: 2.35,LOWEST ATTR (ACTIVE): CHEMBL475532 | SMILES: O=C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(N2CCN(CC3=CC=C([N+](=O)[O-])C=C3)CC2)C(F)=C1 | Attribution: 0.629 | Prediction: 0.974 | MW: 481.5 | LogP: 2.67,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801A80>,SA,Gram+,scaffold,2.1972245773362196,Moderate
955,71485,C1=CC(C2=NC=C(C3=NNC=C3)S2)=CN=C1,8,8,0,0,0,0.6957,0.7616,100.0,8,8,100.0,0.607,0.762,HIGHEST ATTR (ACTIVE): CHEMBL3741177 | SMILES: CCCC1=CC=CC2=C1NN=C2C1=CN=C(C2=CN=C(C(=O)O)C(F)=C2)S1 | Attribution: 0.762 | Prediction: 0.969 | MW: 382.4 | LogP: 4.54,LOWEST ATTR (ACTIVE): CHEMBL3741798 | SMILES: CCCC1=C(O)C=CC2=C1NN=C2C1=CN=C(C2=CN=C(C(=O)O)C=C2C)S1 | Attribution: 0.607 | Prediction: 0.791 | MW: 394.5 | LogP: 4.41,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801AF0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
956,37617,C(C1=CC=CC=C1)C1ON2[C@H]([C@@H]1C1=CC=CC=C1)[C@H]1[C@H](CN1C1=CC=CC=C1)[C@H]2C[Se]C1=CC=CC=C1,8,8,0,0,0,0.6949,0.7111,100.0,8,8,100.0,0.673,0.711,HIGHEST ATTR (ACTIVE): CHEMBL1086137 | SMILES: COC1=CC=C(N2C(=O)[C@H]3[C@@H]2[C@H]2[C@H](C4=CC=C(Cl)C=C4)[C@]4(CCC5=CC=CC=C5C4=O)ON2[C@@H]3C[Se]C2=CC=CC=C2)C=C1 | Attribution: 0.711 | Prediction: 0.991 | MW: 670.1 | LogP: 5.48,LOWEST ATTR (ACTIVE): CHEMBL1086130 | SMILES: COC1=CC=C(N2C(=O)[C@H]3[C@@H]2[C@H]2[C@H](C4=CC=C(C)C=C4)[C@]4(COC5=CC=CC=C5C4=O)ON2[C@@H]3C[Se]C2=CC=CC=C2)C=C1 | Attribution: 0.673 | Prediction: 0.977 | MW: 651.6 | LogP: 4.58,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801B60>,SA,Gram+,scaffold,2.1972245773362196,Moderate
957,74672,C1=CC=C(NCC2=CC=C3CC=CN(C4CC4)C3=C2)C=C1,8,8,0,0,0,0.6939,0.7465,100.0,8,8,100.0,0.663,0.746,HIGHEST ATTR (ACTIVE): CHEMBL3706966 | SMILES: CCN(CC1=C(F)C=C2C(=O)C(C(=O)O)=CN(C3CC3)C2=C1F)C1=CC=CC=C1 | Attribution: 0.746 | Prediction: 0.974 | MW: 398.4 | LogP: 4.34,LOWEST ATTR (ACTIVE): CHEMBL553329 | SMILES: CC1=CC=C(NCC2=C(F)C=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2F)C=C1C | Attribution: 0.663 | Prediction: 0.924 | MW: 398.4 | LogP: 4.54,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801BD0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
958,16402,C1=C(OCO1)C1=CC2=[N+]C=C3C=CC=CC3=C2C=C1,8,8,0,0,0,0.6936,0.7444,100.0,8,8,100.0,0.604,0.744,HIGHEST ATTR (ACTIVE): CHEMBL4442143 | SMILES: C=CC1=C2C(OC)=C(OC)C=CC2=C2C=C(CC)C3=C4OCOC4=CC4=C3C2=[N+]1CC4 | Attribution: 0.744 | Prediction: 0.994 | MW: 414.5 | LogP: 4.94,LOWEST ATTR (ACTIVE): CHEMBL4483743 | SMILES: CCCCC1=CC2=C3C=CC(OC)=C(OC)C3=C[N+]3=C2C2=C(C=C4OCOC4=C12)CC3 | Attribution: 0.604 | Prediction: 0.875 | MW: 416.5 | LogP: 5.08,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801C40>,SA,Gram+,scaffold,2.1972245773362196,Moderate
959,10935,C1C[C@H]2CC(CNC3=CC=CC=C3)=CN12,8,8,0,0,0,0.6921,0.7488,100.0,8,8,100.0,0.625,0.749,HIGHEST ATTR (ACTIVE): CHEMBL161759 | SMILES: C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN3C4=CC=CC5=CC=CC(=C45)N(C)S3(=O)=O)[C@H](C)[C@H]12 | Attribution: 0.749 | Prediction: 0.977 | MW: 456.5 | LogP: 0.20,LOWEST ATTR (ACTIVE): CHEMBL351026 | SMILES: C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(CN(C3=CC=C4C=CC=CC4=C3)S(=O)(=O)C3=CC=CC=C3)[C@H](C)[C@H]12 | Attribution: 0.625 | Prediction: 0.993 | MW: 505.6 | LogP: 1.90,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801CB0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
960,60296,C1=CN=CC(C2=CC(N3C=CC=N3)=C3NC=NC3=C2)=C1,8,8,0,0,0,0.6916,0.7481,100.0,8,8,100.0,0.641,0.748,HIGHEST ATTR (ACTIVE): CHEMBL3357003 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CC=C([C@@H](O)CC)N=C3)=C(F)C(N3C=CC=N3)=C2N1 | Attribution: 0.748 | Prediction: 0.988 | MW: 423.5 | LogP: 3.53,LOWEST ATTR (ACTIVE): CHEMBL487852 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CC=CN=C3)=CC(N3C=CC=N3)=C2N1 | Attribution: 0.641 | Prediction: 0.982 | MW: 347.4 | LogP: 2.95,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801D20>,SA,Gram+,scaffold,2.1972245773362196,Moderate
961,25618,C(CSCC1=CSC=N1)OCC1CCCCC1,8,8,0,0,0,0.6913,0.756,100.0,8,8,100.0,0.533,0.756,HIGHEST ATTR (ACTIVE): CHEMBL2088194 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNCC(=O)OC)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.756 | Prediction: 0.983 | MW: 635.8 | LogP: 3.98,LOWEST ATTR (ACTIVE): CHEMBL2088193 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNC3CCCCC3)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.533 | Prediction: 0.994 | MW: 645.9 | LogP: 6.14,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801D90>,SA,Gram+,scaffold,2.1972245773362196,Moderate
962,34681,C1=CC=C(CNCCOCCCC2=CC=NC3=CC=CN=C23)N=C1,8,8,0,0,0,0.6909,0.7311,100.0,8,8,100.0,0.666,0.731,HIGHEST ATTR (ACTIVE): CHEMBL4846316 | SMILES: COC1=CC=C2N=CC(F)=C(C(O)C[C@H]3OC[C@H](NCC4=CC5=C(C=N4)OCCO5)CO3)C2=N1 | Attribution: 0.731 | Prediction: 0.998 | MW: 472.5 | LogP: 1.90,LOWEST ATTR (ACTIVE): CHEMBL4859342 | SMILES: COC1=CC=C2N=CC(F)=C(C(O)C[C@H]3OC[C@H](NCC4=CC=C5SCC(=O)NC5=N4)CO3)C2=N1 | Attribution: 0.666 | Prediction: 0.996 | MW: 501.5 | LogP: 2.17,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801E00>,SA,Gram+,scaffold,2.1972245773362196,Moderate
963,42529,C1NC2C=CN(C3=NOC=C3)CC2=CN1C1=NOC=C1,8,8,0,0,0,0.6906,0.7118,100.0,8,8,100.0,0.661,0.712,HIGHEST ATTR (ACTIVE): CHEMBL1257521 | SMILES: COC1=CC=C(N2C(=S)N(C3=NOC(C)=C3)C(C)=C3C(=O)N(C4=NOC(C)=C4)C4=CC=CC=C4C32)C=C1 | Attribution: 0.712 | Prediction: 0.990 | MW: 513.6 | LogP: 5.59,LOWEST ATTR (ACTIVE): CHEMBL1257639 | SMILES: CC1=C2C(=O)N(C3=NOC(C)=C3)C3=CC=CC=C3C2N(C2=CC=C(Cl)C=C2)C(=S)N1C1=NOC(C)=C1 | Attribution: 0.661 | Prediction: 0.991 | MW: 518.0 | LogP: 6.24,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801E70>,SA,Gram+,scaffold,2.1972245773362196,Moderate
964,15111,C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(N2CCN(CC3=CC=CC=C3)CC2)C=C1,8,8,0,0,0,0.6902,0.7513,100.0,8,8,100.0,0.622,0.751,HIGHEST ATTR (ACTIVE): CHEMBL474117 | SMILES: NC1=CC=CC=C1CN1CCN(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)CC1 | Attribution: 0.751 | Prediction: 0.985 | MW: 451.5 | LogP: 2.35,LOWEST ATTR (ACTIVE): CHEMBL475532 | SMILES: O=C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(N2CCN(CC3=CC=C([N+](=O)[O-])C=C3)CC2)C(F)=C1 | Attribution: 0.622 | Prediction: 0.974 | MW: 481.5 | LogP: 2.67,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801EE0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
965,34686,C1=CC=C(CN[C@H]2CO[C@H](CCC3=CC=NC4=CC=CN=C34)OC2)N=C1,8,8,0,0,0,0.6896,0.7301,100.0,8,8,100.0,0.662,0.73,HIGHEST ATTR (ACTIVE): CHEMBL4846316 | SMILES: COC1=CC=C2N=CC(F)=C(C(O)C[C@H]3OC[C@H](NCC4=CC5=C(C=N4)OCCO5)CO3)C2=N1 | Attribution: 0.730 | Prediction: 0.998 | MW: 472.5 | LogP: 1.90,LOWEST ATTR (ACTIVE): CHEMBL4859342 | SMILES: COC1=CC=C2N=CC(F)=C(C(O)C[C@H]3OC[C@H](NCC4=CC=C5SCC(=O)NC5=N4)CO3)C2=N1 | Attribution: 0.662 | Prediction: 0.996 | MW: 501.5 | LogP: 2.17,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801F50>,SA,Gram+,scaffold,2.1972245773362196,Moderate
966,76778,C1CN2C3=C(CC4=CC=CC=C4C3)C3=CC=CC=C3[C@@H]2O1,8,8,0,0,0,0.6887,0.7196,100.0,8,8,100.0,0.671,0.72,HIGHEST ATTR (ACTIVE): CHEMBL1631688 | SMILES: CSCC[C@@H]1C(=O)O[C@H]2C3=CC(C)=CC(O)=C3C3=C(C(=O)C4=C(O[C@H]5C[C@@H](O)[C@@H](O)[C@H](C)O5)C=CC=C4C3=O)N12 | Attribution: 0.720 | Prediction: 0.993 | MW: 567.6 | LogP: 2.72,LOWEST ATTR (ACTIVE): CHEMBL1631685 | SMILES: CC1=CC(O)=C2C3=C(C(=O)C4=C(O[C@H]5C[C@@H](O)[C@@H](O)[C@H](C)O5)C=CC=C4C3=O)N3[C@@H](CC(C)C)C(=O)O[C@H]3C2=C1 | Attribution: 0.671 | Prediction: 0.992 | MW: 549.6 | LogP: 3.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688801FC0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
967,15110,C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(NCCNCC2=CC=CC=C2)C=C1,8,8,0,0,0,0.6885,0.7516,100.0,8,8,100.0,0.617,0.752,HIGHEST ATTR (ACTIVE): CHEMBL474117 | SMILES: NC1=CC=CC=C1CN1CCN(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)CC1 | Attribution: 0.752 | Prediction: 0.985 | MW: 451.5 | LogP: 2.35,LOWEST ATTR (ACTIVE): CHEMBL475532 | SMILES: O=C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(N2CCN(CC3=CC=C([N+](=O)[O-])C=C3)CC2)C(F)=C1 | Attribution: 0.617 | Prediction: 0.974 | MW: 481.5 | LogP: 2.67,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688802030>,SA,Gram+,scaffold,2.1972245773362196,Moderate
968,37634,C(CC[C@H]1N[C@H](C[Se]C2=CC=CC=C2)[C@H]2CN(C3=CC=CC=C3)[C@H]21)C1=CC=CC=C1,8,8,0,0,0,0.6884,0.7167,100.0,8,8,100.0,0.668,0.717,HIGHEST ATTR (ACTIVE): CHEMBL1086136 | SMILES: COC1=CC=C([C@H]2[C@@H]3[C@H]4[C@H](C(=O)N4C4=CC=C(OC)C=C4)[C@@H](C[Se]C4=CC=CC=C4)N3O[C@@]23CCC2=CC=CC=C2C3=O)C=C1 | Attribution: 0.717 | Prediction: 0.991 | MW: 665.6 | LogP: 4.83,LOWEST ATTR (ACTIVE): CHEMBL1086132 | SMILES: COC1=CC=C(N2C(=O)[C@H]3[C@@H]2[C@H]2[C@H](C4=CC=C(Cl)C=C4)[C@]4(COC5=CC=CC=C5C4=O)ON2[C@@H]3C[Se]C2=CC=CC=C2)C=C1 | Attribution: 0.668 | Prediction: 0.988 | MW: 672.0 | LogP: 4.92,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888020A0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
969,37229,C1OCCN1C1=CC=C2C(=C1)CCCC1=C2NN=C1C1=CC=NO1,8,8,0,0,0,0.688,0.7561,100.0,8,8,100.0,0.643,0.756,HIGHEST ATTR (ACTIVE): CHEMBL401265 | SMILES: O=C(NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1)C(F)F | Attribution: 0.756 | Prediction: 0.997 | MW: 443.4 | LogP: 2.93,LOWEST ATTR (ACTIVE): CHEMBL245487 | SMILES: CC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1 | Attribution: 0.643 | Prediction: 0.988 | MW: 407.4 | LogP: 2.68,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688802110>,SA,Gram+,scaffold,2.1972245773362196,Moderate
970,19638,C1OCCN1C1=CC=C(NCCNC2=CC=CS2)C=C1,8,8,0,0,0,0.6866,0.7616,100.0,8,8,100.0,0.535,0.762,HIGHEST ATTR (ACTIVE): CHEMBL429993 | SMILES: CC(=O)NC[C@H]1CN(C2=CC(F)=C(N3CCN(C4=CC=C([N+](=O)[O-])S4)CC3)C(F)=C2)C(=O)O1 | Attribution: 0.762 | Prediction: 0.943 | MW: 481.5 | LogP: 2.72,LOWEST ATTR (ACTIVE): CHEMBL390661 | SMILES: CC(=O)OC[C@H]1CN(C2=CC=C(N3CCN(C4=CC=C([N+](=O)[O-])S4)CC3)C(F)=C2)C(=O)O1 | Attribution: 0.535 | Prediction: 0.727 | MW: 464.5 | LogP: 3.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688802180>,SA,Gram+,scaffold,2.1972245773362196,Moderate
971,25621,C(CSCC1=CSC=N1)O[C@@H]1CCCCC2CCC[C@H]2C1,8,8,0,0,0,0.6863,0.7105,100.0,8,8,100.0,0.632,0.71,HIGHEST ATTR (ACTIVE): CHEMBL2088187 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(N)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.710 | Prediction: 0.992 | MW: 506.7 | LogP: 4.87,LOWEST ATTR (ACTIVE): CHEMBL2088193 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNC3CCCCC3)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.632 | Prediction: 0.994 | MW: 645.9 | LogP: 6.14,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888021F0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
972,8097,C(C1=CC=CC=C1)N1C=CCC=C1,8,8,0,0,0,0.686,0.7304,100.0,8,8,100.0,0.637,0.73,HIGHEST ATTR (ACTIVE): CHEMBL483869 | SMILES: CNC(=O)C1=CN2C(C3=CC=C([N+](=O)[O-])C=C3)=NC3=C2C(=CC(F)=C3NC)C1=O | Attribution: 0.730 | Prediction: 0.974 | MW: 395.4 | LogP: 2.40,LOWEST ATTR (ACTIVE): CHEMBL519173 | SMILES: CNC(=O)C1=CN2C(C3=CC=C(O)C=C3)=NC3=C2C(=CC(F)=C3NC)C1=O | Attribution: 0.637 | Prediction: 0.976 | MW: 366.4 | LogP: 2.20,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688802260>,SA,Gram+,scaffold,2.1972245773362196,Moderate
973,25622,C(CSCC1=CSC=N1)OCC1CCCC2CCC[C@H]21,8,8,0,0,0,0.6855,0.759,100.0,8,8,100.0,0.518,0.759,HIGHEST ATTR (ACTIVE): CHEMBL2088194 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNCC(=O)OC)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.759 | Prediction: 0.983 | MW: 635.8 | LogP: 3.98,LOWEST ATTR (ACTIVE): CHEMBL2088193 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSCC2=CSC(NC(=O)CNC3CCCCC3)=N2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.518 | Prediction: 0.994 | MW: 645.9 | LogP: 6.14,,,<rdkit.Chem.rdchem.Mol object at 0x00000216888022D0>,SA,Gram+,scaffold,2.1972245773362196,Moderate
974,676,C(=N\C1=CC=C(/N=C/C2=CC=CC=C2)C=C1)/C1=CC=CC=C1,8,8,0,0,0,0.6851,0.7419,100.0,8,8,100.0,0.634,0.742,HIGHEST ATTR (ACTIVE): CHEMBL2237040 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=CC=C3O)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.742 | Prediction: 0.977 | MW: 431.5 | LogP: 5.81,LOWEST ATTR (ACTIVE): CHEMBL2237037 | SMILES: O=C1/C(=N\C2=CC=C(/N=C/C3=CC=C([N+](=O)[O-])C=C3)C=C2)C2=CC=CC=C2N1CC1=CC=CC=C1 | Attribution: 0.634 | Prediction: 0.989 | MW: 460.5 | LogP: 6.01,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688802340>,SA,Gram+,scaffold,2.1972245773362196,Moderate
