"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SCAFFOLDS,1,355,C1=CC2=C(N=C1)NC=CC2,S. aureus + E. coli (NOT C. albicans),2,622,609,13,0.6759,0.7616,97.60,"e_coli: 270 compounds (257 TP, 13 TN) | Avg Attr: 0.658 | Activity: 95.19% || s_aureus: 352 compounds (352 TP, 0 TN) | Avg Attr: 0.694 | Activity: 100.00%"
POSITIVE SCAFFOLDS,843,36727,C(NC1=CC=CC=C1)NC1=CC=C2N=CN=C(SC3=NN=CO3)C2=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7286,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.762 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.696 | Activity: 100.00%"
POSITIVE SCAFFOLDS,844,25537,C1CN(C2=C3C(=NC=N2)NC2=C3C=CC=C2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7275,0.7616,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.721 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.734 | Activity: 100.00%"
POSITIVE SCAFFOLDS,845,2192,C(C1=CC2CC=CC[C@@H]2CC1)C1=CC=NC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7244,0.7614,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.730 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.719 | Activity: 100.00%"
POSITIVE SCAFFOLDS,846,156,C1=CO[C@H](OCCCO[C@@H]2CCCCO2)CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7164,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.751 | Activity: 100.00% || s_aureus: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.682 | Activity: 100.00%"
POSITIVE SCAFFOLDS,847,25534,C1CN(C2=C(C=NC=N2)C2=CC=CC=C2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7161,0.7487,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.719 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.713 | Activity: 100.00%"
POSITIVE SCAFFOLDS,848,16259,C1=CNC(=CC1)NC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7140,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.693 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.735 | Activity: 100.00%"
POSITIVE SCAFFOLDS,849,40748,C(CN1C2=CC=CC=C2C2=NC3=CC=CC=C3N=C21)N1CCC(C2=CC3=CC=CC=C3O2)=N1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.7028,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.706 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.699 | Activity: 100.00%"
POSITIVE SCAFFOLDS,850,2189,C(C=CC1CC=CCC1)C1=CC=NC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6919,0.7588,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.727 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.657 | Activity: 100.00%"
POSITIVE SCAFFOLDS,851,112191,C(CC1=CC=CC=C1)NC1CN(C=CCSC2=NN=NN2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6907,0.7559,100.00,"e_coli: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.685 | Activity: 100.00% || s_aureus: 4 compounds (4 TP, 0 TN) | Avg Attr: 0.696 | Activity: 100.00%"
POSITIVE SCAFFOLDS,852,24938,C(=N/C1=NNC(C2=CNC3=NC=CC=C3C2)=N1)\C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6871,0.7539,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.712 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.662 | Activity: 100.00%"
POSITIVE SCAFFOLDS,853,25513,C(C1=CC=CC=C1)C1=COC=N1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6870,0.7352,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.685 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.689 | Activity: 100.00%"
POSITIVE SCAFFOLDS,854,158,C1=CO[C@H](O[C@@H]2CCC[C@H](O[C@@H]3CCCCO3)C2)CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6868,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.613 | Activity: 100.00% || s_aureus: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.760 | Activity: 100.00%"
POSITIVE SCAFFOLDS,855,2939,C1=CC=C(C2=NOC(C3=CC=C(N4C=CC=C4)C=C3)=C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6851,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.659 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.711 | Activity: 100.00%"
POSITIVE SCAFFOLDS,856,51267,C1=CN(C2CC2)C2=C(C1)C=CC(C1=CC=NC=C1)=C2,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6834,0.7616,100.00,"e_coli: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.689 | Activity: 100.00% || s_aureus: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.678 | Activity: 100.00%"
POSITIVE SCAFFOLDS,857,36728,C(NC1=CC=CC=C1)NC1=CC=CC(=C1)CSC1=NN=C(C2=CC=CN=C2)O1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6786,0.7552,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.607 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.750 | Activity: 100.00%"
POSITIVE SCAFFOLDS,858,45944,C1=CC=C(C=C1)NCCN1CC[C@@H](NCC2=CC=CC=N2)CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6662,0.7608,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.666 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.667 | Activity: 100.00%"
POSITIVE SCAFFOLDS,859,4301,C1CC[C@@H](O[C@@H]2CCCCC2)OC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6661,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.714 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.618 | Activity: 100.00%"
POSITIVE SCAFFOLDS,860,25535,C1CN(C2=C3C=CNC3=NC=N2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6658,0.7523,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.625 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.706 | Activity: 100.00%"
POSITIVE SCAFFOLDS,861,18592,C(CNCCNC1=CC=C2CC=CN3CCOC1=C23)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6647,0.7193,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.646 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.684 | Activity: 100.00%"
POSITIVE SCAFFOLDS,862,26394,C(CC1=CSC=N1)N[C@@H]1CN2C=CCSC12,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6627,0.7584,100.00,"e_coli: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.678 | Activity: 100.00% || s_aureus: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.647 | Activity: 100.00%"
POSITIVE SCAFFOLDS,863,18589,C(CN1CCN(C2=CC=C3CC=CN4CCOC2=C34)CC1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6593,0.7094,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.646 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.672 | Activity: 100.00%"
POSITIVE SCAFFOLDS,864,25536,C1CN(C2=CC=NC(OC3=CN=CN=C3)=N2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6509,0.7001,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.671 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.631 | Activity: 100.00%"
POSITIVE SCAFFOLDS,865,25533,C1CN(CC2=CNC3=C2C=CC=C3)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6449,0.6997,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.652 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.637 | Activity: 100.00%"
POSITIVE SCAFFOLDS,866,53982,C1C=C(CC2=CNN=C2)C=CO1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6433,0.7568,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.694 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.592 | Activity: 100.00%"
POSITIVE SCAFFOLDS,867,14854,C(C1=CC=CC=C1)=NN(C1=COC=N1)CN1CC=CCC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6307,0.7616,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.709 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.552 | Activity: 100.00%"
POSITIVE SCAFFOLDS,868,14852,C(C1=CC=CC=C1)=NN(C1=COC=N1)CN1CCC2=CC=CC=C2C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6236,0.7468,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.689 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.558 | Activity: 100.00%"
POSITIVE SCAFFOLDS,869,36730,C(NC1=CC=CC=C1)NC1=CC=C2N=CN=C(SC3=NN=C(C4=CC=CN=C4)O3)C2=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.6127,0.6807,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.572 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.654 | Activity: 100.00%"
POSITIVE SCAFFOLDS,870,7574,C1C=CC(CC2=CC3=C(C=CC=C3)CC2)CC1,S. aureus + E. coli (NOT C. albicans),2,40,28,12,0.5983,0.7616,71.18,"e_coli: 21 compounds (10 TP, 11 TN) | Avg Attr: 0.466 | Activity: 47.62% || s_aureus: 19 compounds (18 TP, 1 TN) | Avg Attr: 0.731 | Activity: 94.74%"
POSITIVE SCAFFOLDS,871,12749,C1=CC(N2CCC2)=NC(=C1)NC1CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5969,0.6725,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.571 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.623 | Activity: 100.00%"
POSITIVE SCAFFOLDS,872,13427,C1=CC=C(C2CCN(C3=NC(=CC=C3)NC3CC3)C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5933,0.6906,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.564 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.622 | Activity: 100.00%"
POSITIVE SCAFFOLDS,873,13425,C1=CC=C(CCNC2=NC(=CC=C2)NC2CC2)C=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5874,0.6513,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.542 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.633 | Activity: 100.00%"
POSITIVE SCAFFOLDS,874,4348,C1NCC2(CN1)CC1=CC3=C(C=C1NC2)ON=C3N1C=NC=N1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5831,0.6814,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.535 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.631 | Activity: 100.00%"
POSITIVE SCAFFOLDS,875,51266,C1=CC(C2=CC=NC=C2)=CC(=C1)NC1CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5754,0.7514,100.00,"e_coli: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.517 | Activity: 100.00% || s_aureus: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.634 | Activity: 100.00%"
POSITIVE SCAFFOLDS,876,39397,C(NC1=NC(=CS1)COCC1=CC=CC=C1)C1=CC=CN1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5588,0.6722,100.00,"e_coli: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.534 | Activity: 100.00% || s_aureus: 4 compounds (4 TP, 0 TN) | Avg Attr: 0.584 | Activity: 100.00%"
POSITIVE SCAFFOLDS,877,5270,C1=CN=C2C(CC[C@@H]3CCCCO3)=CC=NC2=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5565,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.354 | Activity: 100.00% || s_aureus: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.759 | Activity: 100.00%"
POSITIVE SCAFFOLDS,878,39396,C(OCC1=CC=CC=C1)C1=CSC=N1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5338,0.6865,100.00,"e_coli: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.536 | Activity: 100.00% || s_aureus: 4 compounds (4 TP, 0 TN) | Avg Attr: 0.531 | Activity: 100.00%"
POSITIVE SCAFFOLDS,879,18598,C(CNCCNC1=CC=CC2=C1OCCN2)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5232,0.5968,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.522 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.524 | Activity: 100.00%"
POSITIVE SCAFFOLDS,880,25532,C1CN(C2=CC=NC=N2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5224,0.6544,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.459 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.585 | Activity: 100.00%"
POSITIVE SCAFFOLDS,881,7655,C(CN1C=CC=N1)N/N=C/C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5222,0.7228,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.652 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.393 | Activity: 100.00%"
POSITIVE SCAFFOLDS,882,35248,C(CN1CCNCC1)C1=CSC=N1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5176,0.6834,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.592 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.443 | Activity: 100.00%"
POSITIVE SCAFFOLDS,883,18594,C(CN1CCN(C2=CC=CC3=C2OCCN3)CC1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5153,0.5929,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.520 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.511 | Activity: 100.00%"
POSITIVE SCAFFOLDS,884,3682,C1CC[C@@H](O[C@H]2CCCO2)[C@H](O[C@@H]2CCCCO2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5101,0.7616,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.377 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.643 | Activity: 100.00%"
POSITIVE SCAFFOLDS,885,10576,C1=CC=C(NCC2CCNC2)C=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.5100,0.5929,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.467 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.553 | Activity: 100.00%"
POSITIVE SCAFFOLDS,886,18056,C1CC[C@@H](O[C@H]2CCCCO2)CC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.4848,0.7616,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.346 | Activity: 100.00% || s_aureus: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.624 | Activity: 100.00%"
POSITIVE SCAFFOLDS,887,2188,C(C1=CCCCC1)C1=CC=NC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.4628,0.6775,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.294 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.631 | Activity: 100.00%"
POSITIVE SCAFFOLDS,888,13423,C1=CC=C(C2CCN(C3=NC=CC=C3)C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.4378,0.6451,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.283 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.593 | Activity: 100.00%"
POSITIVE SCAFFOLDS,889,50931,C(\C=N/OC1CCCC1)N[C@@H]1CNC1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.4253,0.6367,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.360 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.490 | Activity: 100.00%"
POSITIVE SCAFFOLDS,890,41560,C(CNCCNCC1=CNCCO1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.3843,0.4596,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.350 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.418 | Activity: 100.00%"
POSITIVE SCAFFOLDS,891,18600,C(CN1CCN(CC2=CNCCO2)CC1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.3841,0.4621,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.350 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.418 | Activity: 100.00%"
POSITIVE SCAFFOLDS,892,3681,C1CO[C@@H](OCCO[C@@H]2CCCCO2)C1,S. aureus + E. coli (NOT C. albicans),2,28,28,0,0.3494,0.6251,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.302 | Activity: 100.00% || s_aureus: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.396 | Activity: 100.00%"
POSITIVE SCAFFOLDS,893,16454,C1CCN(C2=NC3=C(CC=CN3[C@@H]3CC3)C=C2)C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7506,0.7616,100.00,"e_coli: 3 compounds (3 TP, 0 TN) | Avg Attr: 0.757 | Activity: 100.00% || s_aureus: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.744 | Activity: 100.00%"
POSITIVE SCAFFOLDS,894,10008,C1=NN=C(C2=CN=CS2)N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7491,0.7616,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.737 | Activity: 100.00% || s_aureus: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.761 | Activity: 100.00%"
POSITIVE SCAFFOLDS,895,56762,C1=CSC(C2=NNCN2)=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7383,0.7616,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.749 | Activity: 100.00% || s_aureus: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.727 | Activity: 100.00%"
POSITIVE SCAFFOLDS,896,10011,C1=CC=C(C2=NC=C(C3=NN=CN3)S2)C=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7297,0.7598,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.715 | Activity: 100.00% || s_aureus: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.744 | Activity: 100.00%"
POSITIVE SCAFFOLDS,897,12948,C(C1=CC=CC=C1)CC(N1CCC2=CC=CC=C2C1)NC1=COC(C2=CC=CC=C2)=N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7136,0.7616,100.00,"e_coli: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.709 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.719 | Activity: 100.00%"
POSITIVE SCAFFOLDS,898,14197,C(NC1=NC=NC(NC2=CC=CC=C2)=N1)N1N=CCC1C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7100,0.7441,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.714 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.706 | Activity: 100.00%"
POSITIVE SCAFFOLDS,899,14196,C(NC1=NC(NC2=CC=CC=C2)=NC=N1)N1N=CCC1C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.7100,0.7441,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.714 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.706 | Activity: 100.00%"
POSITIVE SCAFFOLDS,900,27870,C(CN1C[C@@H](NC2=NC3=CC=CC=C3N2)C1)OC(C1=CC=CC=C1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6995,0.7616,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.656 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.743 | Activity: 100.00%"
POSITIVE SCAFFOLDS,901,12949,C(C1=CC=CC=C1)CC(NCC1=CC=CC=C1)NC1=COC(C2=CC=CC=C2)=N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6991,0.7467,100.00,"e_coli: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.708 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.690 | Activity: 100.00%"
POSITIVE SCAFFOLDS,902,14190,C(NC1=NC=NC(NC2=CC=CC=C2)=N1)N1N=C(C2=CC=CC=C2)CC1C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6937,0.7548,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.689 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.699 | Activity: 100.00%"
POSITIVE SCAFFOLDS,903,14189,C(NC1=NC(NC2=CC=CC=C2)=NC=N1)N1N=C(C2=CC=CC=C2)CC1C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6937,0.7548,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.689 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.699 | Activity: 100.00%"
POSITIVE SCAFFOLDS,904,27874,C(OCC1=CC=CC=C1)C1=CCSC2[C@H](NC3=NC4=CC=CC=C4N3)CN12,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6835,0.7557,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.710 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.657 | Activity: 100.00%"
POSITIVE SCAFFOLDS,905,4347,C1NCC(CN1)[C@H]1COCCN1C1=CC=C(CN2C=NC=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6759,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.630 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.722 | Activity: 100.00%"
POSITIVE SCAFFOLDS,906,14199,C(NC1=NC=NC(NC2=CC=CC=C2)=N1)N1CCC(C2=CC=CC=C2)=N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6744,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.736 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.613 | Activity: 100.00%"
POSITIVE SCAFFOLDS,907,14198,C(NC1=NC(NC2=CC=CC=C2)=NC=N1)N1CCC(C2=CC=CC=C2)=N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6744,0.7616,100.00,"e_coli: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.736 | Activity: 100.00% || s_aureus: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.613 | Activity: 100.00%"
POSITIVE SCAFFOLDS,908,27871,C(COC(C1=CC=CC=C1)C1=CC=CC=C1)NCCNC1=NC2=CC=CC=C2N1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6593,0.7225,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.665 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.654 | Activity: 100.00%"
POSITIVE SCAFFOLDS,909,27868,C(OC(C1=CC=CC=C1)C1=CC=CC=C1)C1=CCSC2[C@H](NC3=NC4=CC=CC=C4N3)CN12,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6590,0.7536,100.00,"e_coli: 16 compounds (16 TP, 0 TN) | Avg Attr: 0.688 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.630 | Activity: 100.00%"
POSITIVE SCAFFOLDS,910,9318,C1NC[C@H](CCNCCN2C=CC=CC2)O1,S. aureus + E. coli (NOT C. albicans),2,27,27,0,0.6542,0.7192,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.631 | Activity: 100.00% || s_aureus: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.677 | Activity: 100.00%"
