"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SUBSTITUENTS,1,2250,N-C-CF,S. aureus + E. coli (NOT C. albicans),2,469,469,0,0.3570,0.3808,100.00,"e_coli: 182 compounds (182 TP, 0 TN) | Avg Attr: 0.350 | Activity: 100.00% || s_aureus: 287 compounds (287 TP, 0 TN) | Avg Attr: 0.364 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,204,6029,C-C(F)-C(N1CCC(N)C1)-CF,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.3162,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.370 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.262 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,205,5947,CCN(CC)C1=CC=C2C=C(C(N)=O)C(=O)OC2=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.3153,0.3721,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.353 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.277 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,206,9092,CC(=O)C-C(O)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.3115,0.3785,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.302 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.320 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,207,15818,C-C(OC)-CCl,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2984,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.377 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.220 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,208,19749,CC1=CC(N)=CC=C1N1C(=O)C2=CC=C(Cl)C=C2C1=O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2918,0.3611,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.308 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.276 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,209,21459,CC1=CC=C2C=CC(=O)OC2=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2566,0.3701,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.246 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.267 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,210,1081,COC1=CC=C2OC(=O)C=CC2=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2524,0.3716,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.224 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.281 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,211,30636,CN1CCN(CC2=CC=C(C(F)(F)F)C=C2N2CCCC2)CC1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2507,0.3368,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.291 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.211 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,212,10714,SC1=NN=CN1CC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2507,0.3221,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.237 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.265 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,213,52971,CC1=CC=C2OC(=O)C=CC2=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2440,0.3556,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.225 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.263 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,214,2128,N-C(C(F)(F)F)-S,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2170,0.2445,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.232 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.202 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,215,50783,CC(C)N-C-C(C(=O)O)-C=O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2090,0.3030,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.145 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.273 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,216,21947,CCC(CN)=C1CNC1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2043,0.3808,100.00,"e_coli: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.183 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.226 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,217,25699,NCC1OC(OC2C(N)CC(N)C(O)C2O)C(N)C(O)C1O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2030,0.2881,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.175 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.231 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,218,5691,C[C@H]1C[C@H](N)CN1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.2000,0.3687,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.192 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.208 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,219,30638,CC1=CC=C(C(F)(F)F)C=C1N1CCCC1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1893,0.3518,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.166 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.213 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,220,8211,CCOC(=O)/C(=C\N)C1=CC=C(OCC2=CC=CC=C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1849,0.2482,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.199 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.171 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,221,25160,CC1(CN)CCNC1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1792,0.2696,100.00,"e_coli: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.115 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.243 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,222,1161,CC(S(C)(=O)=O)=CC(=O)O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1738,0.2988,100.00,"e_coli: 3 compounds (3 TP, 0 TN) | Avg Attr: 0.105 | Activity: 100.00% || s_aureus: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.242 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,223,589,CC1=CC=CC(C)=N1,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1596,0.2201,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.142 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.177 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,224,19751,O=C1NC(=O)C2=CC(Cl)=CC=C12,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1596,0.2049,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.178 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.141 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,225,47162,C-C(=O)-NCC1=NN=C(S)N1N,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1420,0.1815,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.121 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.163 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,226,14023,CN1SC=CC1=O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1211,0.1612,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.111 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.131 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,227,8166,O=C(O)C1=CN(C2CC2)C=C(C-CF)C1=O,S. aureus + E. coli (NOT C. albicans),2,18,18,0,0.1141,0.1310,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.117 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.111 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,228,51532,CC(C)(O)CC=O,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.3436,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.320 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.367 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,229,21214,C-C(F)-C(N1CCC(N)C1)-COC,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.3226,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.376 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.269 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,230,16341,NC(=O)C1=CC=C2C=CC=CC2=C1O,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.2901,0.3659,100.00,"e_coli: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.256 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.324 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,231,1112,C-C(F)-C(N1CC[C@@H]([C@H](C)N)C1)-CC,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.2862,0.3808,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.372 | Activity: 100.00% || s_aureus: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.200 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,232,36536,NC1=NC(/C(=N/O)C(=O)NCC=O)=C(Cl)S1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.2543,0.3135,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.226 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.283 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,233,8514,C\C=N/NC1=NCCN1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.2330,0.3535,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.319 | Activity: 100.00% || s_aureus: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.147 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,234,12184,NC1CCNCC1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1960,0.3174,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.168 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.224 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,235,27949,C[C@@H](N)[C@H]1CCNC1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1954,0.3662,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.177 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.214 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,236,12092,C/C(=N\NC1=NCCN1)C1=C(C)NN=C1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1842,0.2829,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.155 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.213 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,237,35259,CO/N=C(\C(=O)N1CCNCC1)C1=CSC(N)=N1,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1749,0.2834,100.00,"e_coli: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.116 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.234 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,238,34742,CC1NCC1N,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1549,0.2621,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.130 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.180 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,239,6380,O=C(O)C1=CN(C2=CC=C(F)C=C2)C2=C(C=C(F)C=C2)C1=O,S. aureus + E. coli (NOT C. albicans),2,17,17,0,0.1364,0.1757,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.135 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.138 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,240,27445,NCCNO,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3644,0.3808,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.381 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.348 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,241,395,CCNCCCN,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3521,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.364 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.340 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,242,29948,C-C-C(C(=N)NC)-C,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3467,0.3808,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.324 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.369 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,243,29949,CNC(=N)C1=CC=C2C=CNC2=C1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3387,0.3808,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.304 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.373 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,244,270,C-C(F)-C(N1CCN(C)CC1)-CF,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3326,0.3808,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.374 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.291 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,245,42745,CC1=CC=C(C)C(/N=C\C=O)=C1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3140,0.3735,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.372 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.256 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,246,29530,O=C\C=N/C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.3093,0.3214,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.315 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.304 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,247,9800,CCN(CC1=CC=CC=C1)C(N)=O,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2871,0.3808,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.216 | Activity: 100.00% || s_aureus: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.358 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,248,32054,CSC1=NN=NN1CCO,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2800,0.3692,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.246 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.314 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,249,33183,CCC1=CC=C(C(F)(F)F)C=C1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2760,0.3298,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.289 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.263 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,250,6261,C=C(/C(C)=O)N1C=C([N+](=O)[O-])N=C1C,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2748,0.3808,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.191 | Activity: 100.00% || s_aureus: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.358 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,251,6855,CC1=CC=C(S(=O)(=O)NC2=NC(C3=CC=CC=C3)=CS2)C=C1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2746,0.3600,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.335 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.215 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,252,4887,CC(=O)NC1=NC(C2=CC=C(Br)C=C2)=CS1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2480,0.2961,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.260 | Activity: 100.00% || s_aureus: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.236 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,253,61736,CC(C)C1=CC=CC(=C1)C-N,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2327,0.2689,100.00,"e_coli: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.236 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.230 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,254,26378,O=CNC1=CC=C(F)C=[N+]1[O-],S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2175,0.3255,100.00,"e_coli: 3 compounds (3 TP, 0 TN) | Avg Attr: 0.180 | Activity: 100.00% || s_aureus: 13 compounds (13 TP, 0 TN) | Avg Attr: 0.255 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,255,25860,CC1=NC=C([N+](=O)[O-])N1CC1=NN=CO1,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.2126,0.2735,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.246 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.180 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,256,3843,O=C-C(C(=O)O)-C-NC1CC1F,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.1631,0.2426,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.127 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.200 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,257,12448,CCN1C=C(C(=O)O)C(=O)C2=CC(F)=CC(Cl)=C21,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.1507,0.2244,100.00,"e_coli: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.141 | Activity: 100.00% || s_aureus: 11 compounds (11 TP, 0 TN) | Avg Attr: 0.161 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,258,43530,CN1[C@@H]2CC[C@H]1CNC2,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.1479,0.2461,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.114 | Activity: 100.00% || s_aureus: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.182 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,259,29032,CC(C)(C)N1C=C(C(=O)O)C(=O)C2=CC(F)=CN=C21,S. aureus + E. coli (NOT C. albicans),2,16,16,0,0.1346,0.1982,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.134 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.135 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,260,22683,NCCCCN(C=O)C(=O)N(CCCCN)C=O,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.3802,0.3808,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.381 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.380 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,261,28840,C=C(C(=O)O)C=O,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.3641,0.3789,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.367 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.361 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,262,27030,NCCS,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.3600,0.3808,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.341 | Activity: 100.00% || s_aureus: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.379 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,263,40524,CC(F)C=NN,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2989,0.3333,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.305 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.293 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,264,35642,CC(=O)NC1=NC(C2=CC=CC=C2)=CS1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2593,0.3172,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.279 | Activity: 100.00% || s_aureus: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.239 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,265,4633,C=C/C(=O)N(C)CC1=C(C)C2=CC=CC=C2S1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2555,0.3025,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.264 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.247 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,266,40518,O=C(O)C1=CC(C2CC2)C=C(CCF)C1=O,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2526,0.3266,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.307 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.198 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,267,47014,NC1=CC=C(S(=O)(=O)CCCO)C=C1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2494,0.3102,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.225 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.274 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,268,84,CC(C)(O/N=C(\C(=O)NCC=O)C1=CSC(N)=N1)C(=O)O,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2402,0.3650,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.128 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.353 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,269,70994,COC1=CC=C(S(C)(=O)=O)C=C1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2241,0.3628,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.312 | Activity: 100.00% || s_aureus: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.136 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,270,45325,CC(C)(C)N1C=NN=N1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2171,0.2916,100.00,"e_coli: 3 compounds (3 TP, 0 TN) | Avg Attr: 0.182 | Activity: 100.00% || s_aureus: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.252 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,271,24717,N-C(SC1=CN=C2N=CC=NC2=C1)-N,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2055,0.2690,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.176 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.235 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,272,11674,CCN1C=C(C(=O)O)C(=O)C2=C(N)C(F)=CC(F)=C21,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.2024,0.2795,100.00,"e_coli: 7 compounds (7 TP, 0 TN) | Avg Attr: 0.161 | Activity: 100.00% || s_aureus: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.244 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,273,36534,NC(=O)/C(=N\O)C1=C(Cl)SC(N)=N1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.1465,0.1985,100.00,"e_coli: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.127 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.166 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,274,50607,CC1=CN(CC2=CC=C(C#N)C=C2)N=N1,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.1247,0.1481,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.120 | Activity: 100.00% || s_aureus: 6 compounds (6 TP, 0 TN) | Avg Attr: 0.130 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,275,13590,COC1=CC=CC=C1C(=O)OCCN1C([N+](=O)[O-])=CN=C1C,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.1239,0.1497,100.00,"e_coli: 12 compounds (12 TP, 0 TN) | Avg Attr: 0.136 | Activity: 100.00% || s_aureus: 3 compounds (3 TP, 0 TN) | Avg Attr: 0.112 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,276,45952,CCN1C(=O)C=CC2=CC=C(C#N)C=C21,S. aureus + E. coli (NOT C. albicans),2,15,15,0,0.1227,0.1461,100.00,"e_coli: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.127 | Activity: 100.00% || s_aureus: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.119 | Activity: 100.00%"
